ADK1,ec_number,2.7.4.3,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,amp[c] + atp[c] <-> adp[c] + adp[c],,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Random Bi Bi,"[adp, adp, atp || amp, adp || atp]",,5690818,Rabbit  muscle,,,,,,,,,
,structure,1,,Crystallography,10828981,E. coli strain HB101 w/ pEAK91,,,,,,,,,
,active_sites,1,,Crystallography,10828981,E. coli strain HB101 w/ pEAK91,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Km,adp,0.000105,,,M,7.4,40,"trishcl,0.05","mg2,0.002;cl,0.004;cl,0.1;k,0.1",,Not Reported,3016722,E. coli strain GT836,
,Km,atp,0.000046,,"amp,0.001",M,7.4,40,"trishcl,0.05","mg2,0.002;cl,0.004;cl,0.1;k,0.1",,Not Reported,3016722,E. coli strain GT836,
,Km,amp,0.000044,,"atp,0.001",M,7.4,40,"trishcl,0.05","mg2,0.002;cl,0.004;cl,0.1;k,0.1",,Not Reported,3016722,E. coli strain GT836,Cosubstrate concentration infered from cited methods (PMID: 6311616)
,kcat,"adp,Null",319,,,1/s,7.4,40,"trishcl,0.05","mg2,0.002;cl,0.004;cl,0.1;k,0.1",,Not Reported,3016722,E. coli strain GT836,
,kcat,"amp,Null;atp,Null",1296,,,1/s,7.4,40,"trishcl,0.05","mg2,0.002;cl,0.004;cl,0.1;k,0.1",,Not Reported,3016722,E. coli strain GT836,Cosubstrate concentration infered from cited methods (PMID: 6311616)
ENO,ec_number,4.2.1.11,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,2pg[c] <-> h2o[c] + pep[c],,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Null,,,,,,,,,,,,,
,structure,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,active_sites,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Km,2pg,0.0001,,"mg2,0.001;so4,0.001", ,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,Not Reported,4942326,E. coli strain B,
,kcat,"2pg,Null",100,,,1/s,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,,,,
G3PD2,ec_number,1.1.1.94,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,glyc3p[c] + nadp[c] <-> dhap[c] + h[c] + nadph[c],,,,,,,,,,,,,
